Timestamp,PlayerID,CPUUsage,MemoryUsage,NetworkSent,NetworkReceived,Importance,ProcessingTime,Mode,TotalErrors
2024-09-30T06:44:22.7955035Z,4,13.163763,22876160,128,64,2,0.0327,1,0
2024-09-30T06:44:23.0396557Z,3,17.336006,22876160,128,32,2,0.0405,1,0
2024-09-30T06:44:23.0433955Z,8,56.1366,22876160,128,16,1,0.0224,1,0
2024-09-30T06:44:23.0471054Z,5,47.464813,22876160,128,16,1,0.0239,1,0
2024-09-30T06:44:23.0507271Z,6,43.539795,22876160,128,16,1,0.0123,1,0
2024-09-30T06:44:23.0545536Z,7,42.97284,22876160,128,16,1,0.0323,1,0
2024-09-30T06:44:23.0582412Z,9,0,22876160,128,64,2,0.0529,1,0
2024-09-30T06:44:23.0619721Z,2,38.800594,22876160,128,16,1,0.0174,1,0
2024-09-30T06:44:23.0660037Z,1,51.862053,22876160,128,32,2,0.0109,1,0
2024-09-30T06:44:23.0690087Z,10,51.862053,22876160,128,16,1,0.0277,1,0
2024-09-30T06:44:23.8084072Z,4,56.38169,22876160,128,32,2,0.0332,1,0
2024-09-30T06:44:24.0507917Z,8,59.965836,22876160,128,16,1,0.0385,1,0
2024-09-30T06:44:24.0577221Z,3,8.10378,22876160,128,128,3,0.063,1,0
2024-09-30T06:44:24.0617477Z,1,34.031364,22876160,128,16,1,0.0194,1,0
2024-09-30T06:44:24.0654598Z,6,30.062466,22876160,128,32,2,0.0222,1,0
2024-09-30T06:44:24.0689665Z,10,29.51173,22876160,128,64,2,0.0282,1,0
2024-09-30T06:44:24.0724048Z,2,25.927586,22876160,128,32,2,0.0187,1,0
2024-09-30T06:44:24.0758228Z,9,37.09436,22876160,128,32,2,0.0421,1,0
2024-09-30T06:44:24.0822781Z,5,11.166777,22876160,128,16,1,0.0204,1,0
2024-09-30T06:44:24.0860918Z,7,11.166777,22876160,128,16,1,0.0277,1,0
2024-09-30T06:44:24.8252295Z,4,15.488949,22876160,128,32,2,0.0382,1,0
2024-09-30T06:44:25.0649957Z,5,8.944045,22876160,128,32,2,0.0533,1,0
2024-09-30T06:44:25.0713314Z,3,8.944045,22876160,128,32,2,0.0319,1,0
2024-09-30T06:44:25.0751780Z,9,35.113068,22876160,128,32,2,0.0278,1,0
2024-09-30T06:44:25.0786687Z,6,26.169022,22876160,128,32,2,0.026,1,0
2024-09-30T06:44:25.0822258Z,2,31.145052,22876160,128,16,1,0.0215,1,0
2024-09-30T06:44:25.0889526Z,7,30.790894,22876160,128,32,2,0.0156,1,0
2024-09-30T06:44:25.0922992Z,8,52.112865,22876160,128,32,2,0.0214,1,0
2024-09-30T06:44:25.0956539Z,1,26.169022,22876160,128,64,2,0.0198,1,0
2024-09-30T06:44:25.1019777Z,10,52.112865,22876160,128,64,2,0.0204,1,0
2024-09-30T06:44:25.8345930Z,4,56.57915,22908928,128,32,2,0.0322,1,0
2024-09-30T06:44:26.0796417Z,5,8.095746,22908928,128,64,2,0.0295,1,0
2024-09-30T06:44:26.0840654Z,8,8.095746,22908928,128,64,2,0.0308,1,0
2024-09-30T06:44:26.0873161Z,3,60.20861,22908928,128,16,1,0.0301,1,0
2024-09-30T06:44:26.0909483Z,6,30.031672,22908928,128,32,2,0.0251,1,0
2024-09-30T06:44:26.0945554Z,10,29.689371,22908928,128,32,2,0.0222,1,0
2024-09-30T06:44:26.0981834Z,9,26.05991,22908928,128,32,2,0.0216,1,0
2024-09-30T06:44:26.1018268Z,1,26.05991,22908928,128,32,2,0.0419,1,0
2024-09-30T06:44:26.1052877Z,7,26.05991,22908928,128,32,2,0.0269,1,0
2024-09-30T06:44:26.1113204Z,2,13.058485,22908928,128,64,2,0.0195,1,0
2024-09-30T06:44:26.8299582Z,4,18.123468,22908928,128,16,1,0.0411,1,0
2024-09-30T06:44:27.0274739Z,5,21.902308,22908928,128,64,2,0.041,1,0
2024-09-30T06:44:27.0968814Z,8,13.222486,22908928,128,64,2,0.0942,1,0
2024-09-30T06:44:27.1006118Z,1,26.280972,22908928,128,16,1,0.0292,1,0
2024-09-30T06:44:27.1045926Z,10,60.396465,22908928,128,16,1,0.072,1,0
2024-09-30T06:44:27.1086805Z,9,60.054012,22908928,128,16,1,0.0549,1,0
2024-09-30T06:44:27.1118978Z,3,56.275173,22908928,128,16,1,0.0193,1,0
2024-09-30T06:44:27.1154422Z,2,51.896507,22908928,128,16,1,0.0188,1,0
2024-09-30T06:44:27.1194772Z,7,77.95207,22908928,128,32,2,0.0234,1,0
2024-09-30T06:44:27.1263076Z,6,26.055563,22908928,128,16,1,0.0177,1,0
2024-09-30T06:44:27.8387521Z,4,30.792078,22908928,128,32,2,0.0693,1,0
2024-09-30T06:44:28.0079631Z,5,33.56776,22908928,128,64,2,0.0337,1,0
2024-09-30T06:44:28.0802534Z,8,12.33723,22908928,128,32,2,0.0554,1,0
2024-09-30T06:44:28.0875529Z,1,27.919846,22908928,128,64,2,0.0273,1,0
2024-09-30T06:44:28.1093756Z,2,28.240162,22908928,128,64,2,0.0935,1,0
2024-09-30T06:44:28.1163769Z,7,27.89704,22908928,128,64,2,0.0335,1,0
2024-09-30T06:44:28.1199518Z,3,25.121357,22908928,128,16,1,0.1444,1,0
2024-09-30T06:44:28.1235778Z,9,20.296324,22908928,128,16,1,0.0243,1,0
2024-09-30T06:44:28.1270755Z,6,56.831787,22908928,128,64,2,0.0271,1,0
2024-09-30T06:44:28.1303640Z,10,52.11808,22908928,128,16,1,0.0308,1,0
2024-09-30T06:44:28.8472985Z,4,58.24928,22908928,128,16,1,0.0596,1,0
2024-09-30T06:44:29.0058419Z,5,62.208084,22908928,128,16,1,0.0451,1,0
2024-09-30T06:44:29.0837119Z,1,23.303741,22908928,128,32,2,0.0557,1,0
2024-09-30T06:44:29.0904310Z,8,14.625885,22908928,128,16,1,0.0444,1,0
2024-09-30T06:44:29.1154214Z,7,22.437664,22908928,128,32,2,0.0538,1,0
2024-09-30T06:44:29.1192238Z,9,44.035854,22908928,128,16,1,0.0244,1,0
2024-09-30T06:44:29.1225291Z,6,21.93388,22908928,128,32,2,0.0346,1,0
2024-09-30T06:44:29.1257486Z,2,39.499973,22908928,128,64,2,0.0316,1,0
2024-09-30T06:44:29.1295441Z,3,30.822117,22908928,128,64,2,0.0393,1,0
