Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오전 11:49:53, 0.38, 42.00, 1091583, 517538, 0, 0.14
2024-09-18 오전 11:49:54, 0.39, 42.00, 1097475, 520330, 0, 0.07
2024-09-18 오전 11:49:55, 1.16, 42.00, 1103485, 523178, 0, 0.10
2024-09-18 오전 11:49:56, 0.00, 42.00, 1109377, 525970, 0, 0.04
2024-09-18 오전 11:49:57, 0.38, 42.00, 1115269, 528762, 0, 0.03
2024-09-18 오전 11:49:58, 0.00, 42.00, 1121220, 531582, 0, 0.01
2024-09-18 오전 11:49:59, 0.39, 42.00, 1127112, 534374, 0, 0.04
2024-09-18 오전 11:50:00, 0.38, 42.00, 1133063, 537194, 0, 0.03
2024-09-18 오전 11:50:01, 0.38, 42.00, 1139014, 540014, 0, 0.03
2024-09-18 오전 11:50:02, 0.38, 42.00, 1144965, 542834, 0, 0.05
2024-09-18 오전 11:50:03, 0.76, 42.00, 1150857, 545626, 0, 0.10
2024-09-18 오전 11:50:04, 0.00, 42.00, 1157044, 548558, 0, 0.05
2024-09-18 오전 11:50:05, 0.77, 42.00, 1162936, 551350, 0, 0.06
2024-09-18 오전 11:50:06, 1.15, 42.00, 1169064, 554254, 0, 0.21
2024-09-18 오전 11:50:07, 0.77, 42.00, 1175133, 557130, 0, 0.09
2024-09-18 오전 11:50:08, 0.00, 42.00, 1181025, 559922, 0, 0.08
2024-09-18 오전 11:50:09, 0.00, 42.00, 1186917, 562714, 0, 0.12
2024-09-18 오전 11:50:10, 0.38, 42.00, 1192809, 565506, 0, 0.12
2024-09-18 오전 11:50:11, 0.00, 42.00, 1198701, 568298, 0, 0.08
2024-09-18 오전 11:50:12, 1.15, 42.00, 1204593, 571090, 0, 0.08
2024-09-18 오전 11:50:13, 0.00, 42.00, 1210485, 573882, 0, 0.05
2024-09-18 오전 11:50:14, 0.38, 42.00, 1216377, 576674, 0, 0.06
2024-09-18 오전 11:50:15, 0.38, 42.00, 1222269, 579466, 0, 0.14
2024-09-18 오전 11:50:16, 0.00, 42.00, 1228161, 582258, 0, 0.08
2024-09-18 오전 11:50:17, 0.38, 42.00, 1234406, 585217, 0, 0.10
2024-09-18 오전 11:50:18, 0.38, 42.00, 1240298, 588009, 0, 0.12
2024-09-18 오전 11:50:19, 0.00, 42.00, 1246190, 590801, 0, 0.09
2024-09-18 오전 11:50:20, 0.38, 42.00, 1252199, 593648, 0, 0.08
2024-09-18 오전 11:50:21, 0.38, 42.00, 1258091, 596440, 0, 0.03
2024-09-18 오전 11:50:22, 1.54, 42.00, 1263983, 599232, 0, 0.14
2024-09-18 오전 11:50:23, 0.38, 42.00, 1270347, 602248, 0, 0.08
2024-09-18 오전 11:50:24, 0.38, 42.00, 1276239, 605040, 0, 0.07
2024-09-18 오전 11:50:25, 0.38, 42.00, 1282131, 607832, 0, 0.04
2024-09-18 오전 11:50:26, 0.00, 42.00, 1288082, 610652, 0, 0.04
2024-09-18 오전 11:50:27, 0.38, 42.00, 1293974, 613444, 0, 0.09
2024-09-18 오전 11:50:28, 0.38, 42.00, 1299866, 616236, 0, 0.14
2024-09-18 오전 11:50:29, 0.77, 42.00, 1305758, 619028, 0, 0.05
2024-09-18 오전 11:50:30, 0.00, 42.00, 1311709, 621848, 0, 0.07
2024-09-18 오전 11:50:31, 0.00, 42.00, 1317660, 624668, 0, 0.17
2024-09-18 오전 11:50:32, 0.38, 42.00, 1323552, 627460, 0, 0.11
2024-09-18 오전 11:50:33, 0.76, 42.00, 1329562, 630308, 0, 0.06
2024-09-18 오전 11:50:34, 0.00, 42.00, 1335513, 633128, 0, 0.17
2024-09-18 오전 11:50:36, 0.38, 42.00, 1341405, 635920, 0, 0.04
2024-09-18 오전 11:50:37, 1.54, 42.00, 1347590, 638850, 0, 0.03
2024-09-18 오전 11:50:38, 1.16, 42.00, 1353482, 641642, 0, 0.17
2024-09-18 오전 11:50:39, 0.00, 42.00, 1359374, 644434, 0, 0.01
2024-09-18 오전 11:50:40, 0.38, 42.00, 1365266, 647226, 0, 0.01
2024-09-18 오전 11:50:41, 0.76, 42.00, 1371276, 650074, 0, 0.01
2024-09-18 오전 11:50:42, 0.38, 42.00, 1377168, 652866, 0, 0.00
2024-09-18 오전 11:50:43, 0.38, 42.00, 1383060, 655658, 0, 0.00
2024-09-18 오전 11:50:44, 1.93, 42.00, 1388952, 658450, 0, 0.00
2024-09-18 오전 11:50:45, 0.38, 42.00, 1395138, 661381, 0, 0.00
2024-09-18 오전 11:50:46, 0.38, 42.00, 1401030, 664173, 0, 0.00
2024-09-18 오전 11:50:47, 0.38, 42.00, 1406922, 666965, 0, 0.00
