Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 5:29:15, 0.76, 45.00, 736151, 348713, 0, 1.19
2024-09-17 오후 5:29:16, 0.00, 45.00, 742043, 351505, 0, 1.31
2024-09-17 오후 5:29:17, 0.38, 45.00, 747935, 354297, 0, 1.13
2024-09-17 오후 5:29:18, 0.00, 45.00, 753768, 357061, 0, 1.21
2024-09-17 오후 5:29:19, 0.39, 45.00, 759660, 359853, 0, 1.16
2024-09-17 오후 5:29:20, 0.38, 45.00, 765552, 362645, 0, 1.17
2024-09-17 오후 5:29:21, 0.00, 45.00, 771385, 365409, 0, 1.23
2024-09-17 오후 5:29:22, 0.76, 45.00, 777277, 368201, 0, 1.20
2024-09-17 오후 5:29:23, 0.38, 45.00, 783110, 370965, 0, 1.17
2024-09-17 오후 5:29:24, 1.53, 45.00, 787766, 373172, 0, 1.08
2024-09-17 오후 5:29:25, 0.38, 45.00, 791710, 375039, 0, 0.93
2024-09-17 오후 5:29:26, 0.39, 45.00, 797484, 377775, 0, 0.80
2024-09-17 오후 5:29:27, 0.00, 45.00, 802257, 380037, 0, 0.98
2024-09-17 오후 5:29:28, 0.00, 45.00, 807089, 382327, 0, 0.87
2024-09-17 오후 5:29:29, 0.39, 45.00, 812981, 385119, 0, 0.58
2024-09-17 오후 5:29:30, 0.38, 45.00, 818639, 387801, 0, 0.99
2024-09-17 오후 5:29:31, 0.00, 45.00, 824531, 390593, 0, 1.10
2024-09-17 오후 5:29:32, 0.38, 45.00, 830423, 393385, 0, 1.18
2024-09-17 오후 5:29:33, 0.39, 45.00, 836315, 396177, 0, 1.14
2024-09-17 오후 5:29:34, 0.00, 45.00, 842148, 398941, 0, 1.04
2024-09-17 오후 5:29:35, 0.38, 45.00, 848040, 401733, 0, 0.93
2024-09-17 오후 5:29:36, 0.39, 45.00, 853932, 404525, 0, 0.86
2024-09-17 오후 5:29:37, 0.00, 45.00, 859765, 407289, 0, 1.08
2024-09-17 오후 5:29:38, 0.39, 45.00, 865657, 410081, 0, 1.14
2024-09-17 오후 5:29:39, 0.00, 45.00, 871431, 412817, 0, 1.15
2024-09-17 오후 5:29:40, 0.38, 45.00, 875496, 414743, 0, 1.06
2024-09-17 오후 5:29:41, 0.00, 45.00, 879972, 416863, 0, 1.30
2024-09-17 오후 5:29:42, 0.38, 45.00, 885864, 419655, 0, 1.18
2024-09-17 오후 5:29:43, 0.38, 45.00, 890637, 421917, 0, 1.41
2024-09-17 오후 5:29:44, 0.00, 45.00, 895469, 424207, 0, 1.21
2024-09-17 오후 5:29:45, 0.38, 45.00, 901361, 426999, 0, 1.13
2024-09-17 오후 5:29:46, 0.00, 45.00, 907019, 429681, 0, 1.29
2024-09-17 오후 5:29:48, 0.38, 45.00, 912911, 432473, 0, 1.12
2024-09-17 오후 5:29:49, 0.38, 45.00, 918803, 435265, 0, 1.20
2024-09-17 오후 5:29:50, 0.38, 45.00, 924695, 438057, 0, 1.20
2024-09-17 오후 5:29:51, 0.00, 45.00, 930587, 440849, 0, 1.26
2024-09-17 오후 5:29:52, 0.38, 45.00, 936420, 443613, 0, 1.21
2024-09-17 오후 5:29:53, 0.00, 45.00, 942312, 446405, 0, 1.19
2024-09-17 오후 5:29:54, 0.00, 45.00, 948204, 449197, 0, 1.20
2024-09-17 오후 5:29:55, 0.76, 45.00, 954096, 451989, 0, 1.09
2024-09-17 오후 5:29:56, 0.39, 45.00, 959929, 454753, 0, 1.05
2024-09-17 오후 5:29:57, 0.00, 45.00, 965762, 457517, 0, 1.20
2024-09-17 오후 5:29:58, 0.38, 45.00, 970418, 459724, 0, 1.10
2024-09-17 오후 5:29:59, 0.38, 45.00, 974362, 461591, 0, 1.03
2024-09-17 오후 5:30:00, 0.38, 45.00, 980136, 464327, 0, 1.04
2024-09-17 오후 5:30:01, 0.00, 45.00, 984909, 466589, 0, 0.85
2024-09-17 오후 5:30:02, 0.38, 45.00, 990330, 469158, 0, 1.30
2024-09-17 오후 5:30:03, 0.38, 45.00, 995633, 471671, 0, 1.22
2024-09-17 오후 5:30:04, 0.39, 45.00, 1001291, 474353, 0, 1.16
2024-09-17 오후 5:30:05, 0.00, 45.00, 1007183, 477145, 0, 1.27
2024-09-17 오후 5:30:06, 0.38, 45.00, 1013075, 479937, 0, 1.38
2024-09-17 오후 5:30:07, 0.38, 45.00, 1018967, 482729, 0, 1.19
2024-09-17 오후 5:30:08, 0.38, 45.00, 1024859, 485521, 0, 1.29
2024-09-17 오후 5:30:09, 0.38, 45.00, 1030692, 488285, 0, 1.24
2024-09-17 오후 5:30:10, 0.00, 45.00, 1036584, 491077, 0, 1.24
2024-09-17 오후 5:30:11, 0.38, 45.00, 1042476, 493869, 0, 1.21
2024-09-17 오후 5:30:12, 0.00, 45.00, 1048368, 496661, 0, 1.22
2024-09-17 오후 5:30:13, 0.38, 45.00, 1054201, 499425, 0, 1.21
2024-09-17 오후 5:30:14, 0.00, 45.00, 1060034, 502189, 0, 1.13
2024-09-17 오후 5:30:15, 0.76, 45.00, 1065514, 504786, 0, 1.26
2024-09-17 오후 5:30:16, 0.00, 45.00, 1069106, 506487, 0, 0.98
2024-09-17 오후 5:30:17, 0.38, 45.00, 1074408, 508999, 0, 1.21
2024-09-17 오후 5:30:18, 0.00, 45.00, 1079240, 511289, 0, 1.44
2024-09-17 오후 5:30:19, 0.39, 45.00, 1084602, 513830, 0, 1.15
2024-09-17 오후 5:30:20, 0.38, 45.00, 1089905, 516343, 0, 1.20
2024-09-17 오후 5:30:21, 0.38, 45.00, 1095563, 519025, 0, 1.24
2024-09-17 오후 5:30:22, 0.00, 45.00, 1101455, 521817, 0, 1.21
2024-09-17 오후 5:30:23, 0.38, 45.00, 1107347, 524609, 0, 1.23
2024-09-17 오후 5:30:24, 0.38, 45.00, 1113239, 527401, 0, 1.31
2024-09-17 오후 5:30:25, 0.38, 45.00, 1119131, 530193, 0, 1.25
2024-09-17 오후 5:30:26, 0.76, 45.00, 1125023, 532985, 0, 1.26
2024-09-17 오후 5:30:27, 0.00, 45.00, 1130856, 535749, 0, 1.28
2024-09-17 오후 5:30:28, 0.38, 45.00, 1136748, 538541, 0, 1.43
2024-09-17 오후 5:30:29, 0.39, 45.00, 1142581, 541305, 0, 1.21
2024-09-17 오후 5:30:30, 0.00, 45.00, 1148473, 544097, 0, 1.16
2024-09-17 오후 5:30:31, 0.38, 45.00, 1154247, 546833, 0, 0.69
2024-09-17 오후 5:30:32, 0.39, 45.00, 1157899, 548563, 0, 0.48
2024-09-17 오후 5:30:33, 0.38, 45.00, 1162788, 550879, 0, 0.89
2024-09-17 오후 5:30:34, 0.00, 45.00, 1167620, 553169, 0, 1.16
2024-09-17 오후 5:30:35, 0.00, 45.00, 1172982, 555710, 0, 0.68
2024-09-17 오후 5:30:37, 1.54, 45.00, 1178285, 558223, 0, 1.10
2024-09-17 오후 5:30:38, 0.00, 45.00, 1183943, 560905, 0, 1.19
2024-09-17 오후 5:30:39, 0.38, 45.00, 1189835, 563697, 0, 1.19
2024-09-17 오후 5:30:40, 0.39, 45.00, 1195727, 566489, 0, 0.52
2024-09-17 오후 5:30:41, 0.38, 45.00, 1201619, 569281, 0, 0.69
2024-09-17 오후 5:30:42, 0.38, 45.00, 1207511, 572073, 0, 0.85
2024-09-17 오후 5:30:43, 0.38, 45.00, 1213344, 574837, 0, 1.06
2024-09-17 오후 5:30:44, 0.00, 45.00, 1219236, 577629, 0, 0.98
2024-09-17 오후 5:30:45, 0.38, 45.00, 1225128, 580421, 0, 1.28
2024-09-17 오후 5:30:46, 0.00, 45.00, 1230961, 583185, 0, 1.22
2024-09-17 오후 5:30:47, 0.38, 45.00, 1236794, 585949, 0, 1.21
2024-09-17 오후 5:30:48, 0.38, 45.00, 1242274, 588546, 0, 1.59
2024-09-17 오후 5:30:49, 0.00, 45.00, 1245866, 590247, 0, 1.08
2024-09-17 오후 5:30:50, 0.38, 45.00, 1251168, 592759, 0, 1.23
2024-09-17 오후 5:30:51, 0.00, 45.00, 1256000, 595049, 0, 1.15
2024-09-17 오후 5:30:52, 0.38, 45.00, 1261833, 597813, 0, 1.25
2024-09-17 오후 5:30:53, 0.00, 45.00, 1266665, 600103, 0, 1.15
2024-09-17 오후 5:30:54, 0.38, 45.00, 1272557, 602895, 0, 1.23
2024-09-17 오후 5:30:55, 0.00, 45.00, 1278215, 605577, 0, 1.19
2024-09-17 오후 5:30:56, 0.39, 45.00, 1284107, 608369, 0, 1.08
2024-09-17 오후 5:30:57, 0.39, 45.00, 1289999, 611161, 0, 1.16
2024-09-17 오후 5:30:58, 0.00, 45.00, 1295891, 613953, 0, 1.25
2024-09-17 오후 5:30:59, 0.38, 45.00, 1301724, 616717, 0, 1.26
2024-09-17 오후 5:31:00, 0.38, 45.00, 1307616, 619509, 0, 0.89
2024-09-17 오후 5:31:01, 0.00, 45.00, 1313508, 622301, 0, 1.13
2024-09-17 오후 5:31:02, 0.38, 45.00, 1319341, 625065, 0, 1.20
2024-09-17 오후 5:31:03, 0.00, 45.00, 1325233, 627857, 0, 1.19
2024-09-17 오후 5:31:04, 0.38, 45.00, 1331066, 630621, 0, 1.27
2024-09-17 오후 5:31:05, 0.00, 45.00, 1335722, 632828, 0, 1.49
2024-09-17 오후 5:31:06, 0.38, 45.00, 1339666, 634695, 0, 1.24
2024-09-17 오후 5:31:07, 0.00, 45.00, 1345440, 637431, 0, 1.33
2024-09-17 오후 5:31:08, 0.39, 45.00, 1350213, 639693, 0, 1.27
2024-09-17 오후 5:31:09, 0.38, 45.00, 1355045, 641983, 0, 1.18
2024-09-17 오후 5:31:10, 0.38, 45.00, 1360937, 644775, 0, 1.12
2024-09-17 오후 5:31:11, 0.38, 45.00, 1366595, 647457, 0, 1.35
2024-09-17 오후 5:31:12, 0.38, 45.00, 1372487, 650249, 0, 1.16
2024-09-17 오후 5:31:13, 0.38, 45.00, 1378379, 653041, 0, 1.23
2024-09-17 오후 5:31:14, 0.00, 45.00, 1384271, 655833, 0, 1.18
2024-09-17 오후 5:31:15, 0.38, 45.00, 1390163, 658625, 0, 1.19
2024-09-17 오후 5:31:16, 0.00, 45.00, 1395996, 661389, 0, 1.39
2024-09-17 오후 5:31:17, 0.38, 45.00, 1401888, 664181, 0, 1.27
2024-09-17 오후 5:31:18, 0.00, 45.00, 1407780, 666973, 0, 1.17
2024-09-17 오후 5:31:19, 0.00, 45.00, 1413613, 669737, 0, 1.28
2024-09-17 오후 5:31:20, 0.76, 45.00, 1419505, 672529, 0, 1.31
2024-09-17 오후 5:31:21, 0.00, 45.00, 1425338, 675293, 0, 1.51
2024-09-17 오후 5:31:22, 0.38, 45.00, 1429994, 677500, 0, 1.41
2024-09-17 오후 5:31:23, 0.00, 45.00, 1433938, 679367, 0, 1.24
2024-09-17 오후 5:31:25, 1.14, 45.00, 1439712, 682103, 0, 1.20
2024-09-17 오후 5:31:26, 0.00, 45.00, 1444485, 684365, 0, 1.25
2024-09-17 오후 5:31:27, 0.76, 45.00, 1449906, 686934, 0, 1.20
2024-09-17 오후 5:31:28, 0.38, 45.00, 1455209, 689447, 0, 1.18
2024-09-17 오후 5:31:29, 0.00, 45.00, 1460867, 692129, 0, 1.19
2024-09-17 오후 5:31:30, 1.14, 45.00, 1466759, 694921, 0, 1.11
2024-09-17 오후 5:31:31, 0.38, 45.00, 1472651, 697713, 0, 1.19
2024-09-17 오후 5:31:32, 0.38, 45.00, 1478543, 700505, 0, 1.23
2024-09-17 오후 5:31:33, 0.00, 45.00, 1484435, 703297, 0, 1.14
2024-09-17 오후 5:31:34, 0.76, 45.00, 1490327, 706089, 0, 1.16
2024-09-17 오후 5:31:35, 0.39, 45.00, 1496160, 708853, 0, 1.27
2024-09-17 오후 5:31:36, 0.00, 45.00, 1502052, 711645, 0, 1.18
2024-09-17 오후 5:31:37, 0.38, 45.00, 1507944, 714437, 0, 1.16
2024-09-17 오후 5:31:38, 0.38, 45.00, 1513777, 717201, 0, 0.96
2024-09-17 오후 5:31:39, 0.39, 45.00, 1519551, 719937, 0, 0.43
2024-09-17 오후 5:31:40, 0.00, 45.00, 1523616, 721863, 0, 0.91
2024-09-17 오후 5:31:41, 0.77, 45.00, 1528092, 723983, 0, 0.57
2024-09-17 오후 5:31:42, 0.38, 45.00, 1533512, 726551, 0, 1.04
2024-09-17 오후 5:31:43, 0.00, 45.00, 1538757, 729037, 0, 1.27
2024-09-17 오후 5:31:44, 0.38, 45.00, 1543589, 731327, 0, 1.28
2024-09-17 오후 5:31:45, 0.39, 45.00, 1549481, 734119, 0, 1.16
2024-09-17 오후 5:31:46, 0.39, 45.00, 1555139, 736801, 0, 0.91
2024-09-17 오후 5:31:47, 0.38, 45.00, 1561031, 739593, 0, 0.95
2024-09-17 오후 5:31:48, 0.77, 45.00, 1566923, 742385, 0, 1.39
2024-09-17 오후 5:31:49, 0.39, 45.00, 1572815, 745177, 0, 0.79
2024-09-17 오후 5:31:50, 0.00, 45.00, 1578648, 747941, 0, 1.24
2024-09-17 오후 5:31:51, 0.38, 45.00, 1584540, 750733, 0, 1.28
2024-09-17 오후 5:31:52, 0.39, 45.00, 1590432, 753525, 0, 1.23
2024-09-17 오후 5:31:53, 0.00, 45.00, 1596265, 756289, 0, 1.21
2024-09-17 오후 5:31:54, 0.38, 45.00, 1602098, 759053, 0, 1.18
2024-09-17 오후 5:31:55, 0.38, 45.00, 1606754, 761260, 0, 1.11
2024-09-17 오후 5:31:56, 0.00, 45.00, 1610698, 763127, 0, 1.18
2024-09-17 오후 5:31:57, 0.38, 45.00, 1616472, 765863, 0, 1.18
2024-09-17 오후 5:31:58, 0.00, 45.00, 1621245, 768125, 0, 1.27
2024-09-17 오후 5:31:59, 0.38, 45.00, 1626666, 770694, 0, 1.29
2024-09-17 오후 5:32:00, 0.39, 45.00, 1631969, 773207, 0, 1.26
2024-09-17 오후 5:32:01, 0.38, 45.00, 1637627, 775889, 0, 1.34
2024-09-17 오후 5:32:02, 0.00, 45.00, 1643519, 778681, 0, 1.14
2024-09-17 오후 5:32:03, 1.16, 45.00, 1649411, 781473, 0, 1.22
2024-09-17 오후 5:32:04, 0.38, 45.00, 1655303, 784265, 0, 0.73
2024-09-17 오후 5:32:05, 0.76, 45.00, 1661195, 787057, 0, 1.05
2024-09-17 오후 5:32:06, 0.77, 45.00, 1667028, 789821, 0, 0.78
2024-09-17 오후 5:32:07, 0.38, 45.00, 1672920, 792613, 0, 1.12
2024-09-17 오후 5:32:08, 0.00, 45.00, 1678812, 795405, 0, 1.20
2024-09-17 오후 5:32:09, 0.38, 45.00, 1684645, 798169, 0, 1.15
2024-09-17 오후 5:32:10, 0.00, 45.00, 1690478, 800933, 0, 1.29
2024-09-17 오후 5:32:11, 0.77, 45.00, 1695958, 803530, 0, 1.22
2024-09-17 오후 5:32:12, 0.38, 45.00, 1699550, 805231, 0, 0.97
2024-09-17 오후 5:32:13, 0.00, 45.00, 1704852, 807743, 0, 1.27
2024-09-17 오후 5:32:15, 0.39, 45.00, 1709625, 810005, 0, 1.30
2024-09-17 오후 5:32:16, 0.38, 45.00, 1715046, 812574, 0, 1.24
2024-09-17 오후 5:32:17, 0.00, 45.00, 1720349, 815087, 0, 1.22
2024-09-17 오후 5:32:18, 0.00, 45.00, 1726007, 817769, 0, 1.30
2024-09-17 오후 5:32:19, 0.00, 45.00, 1731899, 820561, 0, 1.15
2024-09-17 오후 5:32:20, 0.38, 45.00, 1737791, 823353, 0, 1.20
2024-09-17 오후 5:32:21, 0.00, 45.00, 1743683, 826145, 0, 1.24
2024-09-17 오후 5:32:22, 0.38, 45.00, 1749575, 828937, 0, 1.26
2024-09-17 오후 5:32:23, 0.38, 45.00, 1755408, 831701, 0, 1.26
2024-09-17 오후 5:32:24, 0.38, 45.00, 1761300, 834493, 0, 1.25
2024-09-17 오후 5:32:25, 0.00, 45.00, 1767192, 837285, 0, 1.19
2024-09-17 오후 5:32:26, 0.38, 45.00, 1773025, 840049, 0, 1.19
2024-09-17 오후 5:32:27, 0.76, 45.00, 1778917, 842841, 0, 1.31
2024-09-17 오후 5:32:28, 0.77, 45.00, 1784691, 845577, 0, 1.20
2024-09-17 오후 5:32:29, 0.38, 45.00, 1788343, 847307, 0, 1.00
2024-09-17 오후 5:32:30, 0.39, 45.00, 1793232, 849623, 0, 1.31
2024-09-17 오후 5:32:31, 0.00, 45.00, 1798005, 851885, 0, 1.33
2024-09-17 오후 5:32:32, 1.14, 45.00, 1803426, 854454, 0, 1.33
2024-09-17 오후 5:32:33, 0.00, 45.00, 1808729, 856967, 0, 1.27
2024-09-17 오후 5:32:34, 0.38, 45.00, 1814387, 859649, 0, 1.25
2024-09-17 오후 5:32:35, 0.38, 45.00, 1820279, 862441, 0, 1.16
2024-09-17 오후 5:32:36, 0.38, 45.00, 1826171, 865233, 0, 1.28
2024-09-17 오후 5:32:37, 0.00, 45.00, 1832063, 868025, 0, 1.30
2024-09-17 오후 5:32:38, 0.38, 45.00, 1837955, 870817, 0, 1.28
2024-09-17 오후 5:32:39, 0.38, 45.00, 1843847, 873609, 0, 1.19
2024-09-17 오후 5:32:40, 0.00, 45.00, 1849680, 876373, 0, 1.18
2024-09-17 오후 5:32:41, 0.38, 45.00, 1855572, 879165, 0, 1.24
2024-09-17 오후 5:32:42, 0.00, 45.00, 1861464, 881957, 0, 1.16
2024-09-17 오후 5:32:43, 0.38, 45.00, 1867297, 884721, 0, 1.24
2024-09-17 오후 5:32:44, 0.00, 45.00, 1873130, 887485, 0, 0.99
2024-09-17 오후 5:32:45, 0.00, 45.00, 1877786, 889692, 0, 0.59
2024-09-17 오후 5:32:46, 1.14, 45.00, 1881730, 891559, 0, 1.04
2024-09-17 오후 5:32:47, 0.38, 45.00, 1887504, 894295, 0, 1.46
2024-09-17 오후 5:32:48, 0.00, 45.00, 1892277, 896557, 0, 1.26
2024-09-17 오후 5:32:49, 0.38, 45.00, 1897109, 898847, 0, 0.78
2024-09-17 오후 5:32:50, 0.38, 45.00, 1903001, 901639, 0, 1.16
2024-09-17 오후 5:32:51, 0.38, 45.00, 1908659, 904321, 0, 0.83
2024-09-17 오후 5:32:52, 0.00, 45.00, 1914551, 907113, 0, 1.20
2024-09-17 오후 5:32:53, 0.38, 45.00, 1920443, 909905, 0, 0.73
2024-09-17 오후 5:32:54, 0.00, 45.00, 1926335, 912697, 0, 1.01
2024-09-17 오후 5:32:55, 0.38, 45.00, 1932227, 915489, 0, 0.93
2024-09-17 오후 5:32:56, 0.38, 45.00, 1938060, 918253, 0, 1.25
2024-09-17 오후 5:32:57, 0.00, 45.00, 1943952, 921045, 0, 1.23
2024-09-17 오후 5:32:58, 0.77, 45.00, 1949844, 923837, 0, 1.20
2024-09-17 오후 5:32:59, 0.38, 45.00, 1955677, 926601, 0, 1.26
2024-09-17 오후 5:33:00, 0.00, 45.00, 1961510, 929365, 0, 1.32
2024-09-17 오후 5:33:01, 0.76, 45.00, 1966166, 931572, 0, 1.15
2024-09-17 오후 5:33:03, 0.38, 45.00, 1970110, 933439, 0, 1.03
2024-09-17 오후 5:33:04, 0.00, 45.00, 1975884, 936175, 0, 1.12
