Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 8:41:41, 0.76, 37.00, 61063, 28482, 0, 1.14
2024-09-17 오후 8:41:42, 0.39, 37.00, 61586, 28726, 0, 1.33
2024-09-17 오후 8:41:43, 0.38, 37.00, 62167, 28997, 0, 1.50
2024-09-17 오후 8:41:44, 0.38, 37.00, 62748, 29268, 0, 1.50
2024-09-17 오후 8:41:45, 0.38, 37.00, 63329, 29539, 0, 1.10
2024-09-17 오후 8:41:46, 0.00, 37.00, 63910, 29810, 0, 1.20
2024-09-17 오후 8:41:47, 0.38, 37.00, 64491, 30081, 0, 1.30
2024-09-17 오후 8:41:48, 0.38, 37.00, 65072, 30352, 0, 0.90
2024-09-17 오후 8:41:49, 0.38, 37.00, 65594, 30595, 0, 1.56
2024-09-17 오후 8:41:50, 0.38, 37.00, 66175, 30866, 0, 1.00
2024-09-17 오후 8:41:51, 0.38, 37.00, 66756, 31137, 0, 1.30
2024-09-17 오후 8:41:52, 0.38, 37.00, 67105, 31300, 0, 0.83
2024-09-17 오후 8:41:53, 0.00, 37.00, 67686, 31571, 0, 1.10
2024-09-17 오후 8:41:54, 0.00, 37.00, 68209, 31815, 0, 1.56
2024-09-17 오후 8:41:55, 0.00, 37.00, 68790, 32086, 0, 1.20
2024-09-17 오후 8:41:56, 0.38, 37.00, 69371, 32357, 0, 1.30
2024-09-17 오후 8:41:57, 0.00, 37.00, 69778, 32547, 0, 1.14
2024-09-17 오후 8:41:58, 0.38, 37.00, 70359, 32818, 0, 1.20
2024-09-17 오후 8:41:59, 0.00, 37.00, 70882, 33062, 0, 1.11
2024-09-17 오후 8:42:00, 0.38, 37.00, 71463, 33333, 0, 1.20
2024-09-17 오후 8:42:02, 0.39, 37.00, 72044, 33604, 0, 1.40
2024-09-17 오후 8:42:03, 0.38, 37.00, 72625, 33875, 0, 1.20
2024-09-17 오후 8:42:04, 0.38, 37.00, 73206, 34146, 0, 1.20
2024-09-17 오후 8:42:05, 0.00, 37.00, 73787, 34417, 0, 1.00
2024-09-17 오후 8:42:06, 0.38, 37.00, 74309, 34660, 0, 1.33
2024-09-17 오후 8:42:07, 0.00, 37.00, 74890, 34931, 0, 1.10
2024-09-17 오후 8:42:08, 0.00, 37.00, 75471, 35202, 0, 1.20
2024-09-17 오후 8:42:09, 0.38, 37.00, 76052, 35473, 0, 1.40
2024-09-17 오후 8:42:10, 0.00, 37.00, 76401, 35636, 0, 0.83
