Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:44:00, 0.38, 42.00, 578684, 274202, 0, 0.09
2024-09-17 오후 10:44:01, 0.38, 42.00, 584576, 276994, 0, 0.16
2024-09-17 오후 10:44:02, 0.76, 42.00, 590468, 279786, 0, 0.17
2024-09-17 오후 10:44:03, 0.00, 42.00, 592177, 280596, 0, 0.31
2024-09-17 오후 10:44:05, 0.38, 42.00, 598069, 283388, 0, 0.10
2024-09-17 오후 10:44:06, 0.00, 42.00, 602488, 285482, 0, 0.13
2024-09-17 오후 10:44:07, 0.38, 42.00, 608203, 288190, 0, 0.13
2024-09-17 오후 10:44:08, 0.38, 42.00, 614095, 290982, 0, 0.08
2024-09-17 오후 10:44:09, 0.00, 42.00, 619987, 293774, 0, 0.12
2024-09-17 오후 10:44:10, 0.00, 42.00, 625879, 296566, 0, 0.08
2024-09-17 오후 10:44:11, 0.00, 42.00, 631771, 299358, 0, 0.12
2024-09-17 오후 10:44:12, 0.00, 42.00, 637663, 302150, 0, 0.15
2024-09-17 오후 10:44:13, 0.38, 42.00, 643555, 304942, 0, 0.29
2024-09-17 오후 10:44:14, 0.38, 42.00, 649388, 307706, 0, 0.40
2024-09-17 오후 10:44:15, 0.38, 42.00, 655280, 310498, 0, 0.16
2024-09-17 오후 10:44:16, 0.38, 42.00, 661172, 313290, 0, 0.14
2024-09-17 오후 10:44:17, 0.38, 42.00, 667064, 316082, 0, 0.15
2024-09-17 오후 10:44:18, 0.38, 42.00, 672956, 318874, 0, 0.65
2024-09-17 오후 10:44:19, 0.77, 42.00, 678848, 321666, 0, 0.20
2024-09-17 오후 10:44:20, 0.38, 42.00, 684740, 324458, 0, 0.16
2024-09-17 오후 10:44:21, 0.38, 42.00, 690632, 327250, 0, 0.21
2024-09-17 오후 10:44:22, 0.38, 42.00, 696524, 330042, 0, 0.15
2024-09-17 오후 10:44:23, 0.77, 42.00, 702416, 332834, 0, 0.18
2024-09-17 오후 10:44:24, 0.00, 42.00, 708308, 335626, 0, 0.16
2024-09-17 오후 10:44:25, 0.38, 42.00, 713905, 338278, 0, 0.14
2024-09-17 오후 10:44:26, 0.00, 42.00, 715909, 339228, 0, 0.71
2024-09-17 오후 10:44:27, 0.00, 42.00, 721801, 342020, 0, 0.37
2024-09-17 오후 10:44:28, 0.00, 42.00, 726220, 344114, 0, 0.16
2024-09-17 오후 10:44:29, 0.38, 42.00, 732112, 346906, 0, 0.31
2024-09-17 오후 10:44:30, 0.00, 42.00, 737827, 349614, 0, 0.45
2024-09-17 오후 10:44:31, 0.39, 42.00, 743719, 352406, 0, 0.41
