Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 12:21:28, 0.00, 42.00, 640197, 303643, 0, 0.03
2024-09-18 오후 12:21:29, 0.38, 42.00, 646089, 306435, 0, 0.02
2024-09-18 오후 12:21:30, 0.38, 42.00, 651981, 309227, 0, 0.03
2024-09-18 오후 12:21:31, 0.00, 42.00, 657873, 312019, 0, 0.03
2024-09-18 오후 12:21:32, 0.00, 42.00, 663765, 314811, 0, 0.05
2024-09-18 오후 12:21:33, 0.38, 42.00, 669893, 317715, 0, 0.03
2024-09-18 오후 12:21:34, 0.00, 42.00, 675844, 320535, 0, 0.12
2024-09-18 오후 12:21:35, 0.76, 42.00, 681853, 323382, 0, 0.07
2024-09-18 오후 12:21:36, 0.00, 42.00, 687745, 326174, 0, 0.00
2024-09-18 오후 12:21:37, 0.38, 42.00, 693637, 328966, 0, 0.03
2024-09-18 오후 12:21:38, 0.38, 42.00, 699529, 331758, 0, 0.01
2024-09-18 오후 12:21:39, 0.38, 42.00, 705421, 334550, 0, 0.02
2024-09-18 오후 12:21:40, 0.00, 42.00, 710901, 337147, 0, 0.02
2024-09-18 오후 12:21:41, 0.39, 42.00, 717382, 340218, 0, 0.14
2024-09-18 오후 12:21:42, 0.00, 42.00, 723274, 343010, 0, 0.14
2024-09-18 오후 12:21:43, 0.77, 42.00, 729166, 345802, 0, 0.10
2024-09-18 오후 12:21:44, 0.38, 42.00, 735058, 348594, 0, 0.05
2024-09-18 오후 12:21:45, 0.00, 42.00, 740950, 351386, 0, 0.04
2024-09-18 오후 12:21:46, 0.00, 42.00, 747077, 354289, 0, 0.07
2024-09-18 오후 12:21:47, 0.38, 42.00, 752969, 357081, 0, 0.01
2024-09-18 오후 12:21:48, 0.39, 42.00, 758861, 359873, 0, 0.03
2024-09-18 오후 12:21:49, 1.93, 42.00, 764753, 362665, 0, 0.00
2024-09-18 오후 12:21:50, 0.38, 42.00, 770939, 365596, 0, 0.01
2024-09-18 오후 12:21:51, 0.00, 42.00, 776831, 368388, 0, 0.01
2024-09-18 오후 12:21:52, 0.38, 42.00, 782723, 371180, 0, 0.07
2024-09-18 오후 12:21:53, 0.00, 42.00, 788674, 374000, 0, 0.06
2024-09-18 오후 12:21:54, 0.38, 42.00, 794801, 376903, 0, 0.04
2024-09-18 오후 12:21:55, 0.00, 42.00, 800693, 379695, 0, 0.05
2024-09-18 오후 12:21:56, 1.54, 42.00, 806703, 382543, 0, 0.04
2024-09-18 오후 12:21:57, 0.38, 42.00, 812595, 385335, 0, 0.06
2024-09-18 오후 12:21:58, 0.00, 42.00, 818487, 388127, 0, 0.06
2024-09-18 오후 12:21:59, 0.00, 42.00, 824379, 390919, 0, 0.11
2024-09-18 오후 12:22:00, 0.00, 42.00, 830271, 393711, 0, 0.02
2024-09-18 오후 12:22:01, 1.53, 42.00, 836163, 396503, 0, 0.03
2024-09-18 오후 12:22:02, 0.39, 42.00, 842055, 399295, 0, 0.05
2024-09-18 오후 12:22:03, 0.38, 42.00, 847947, 402087, 0, 0.05
2024-09-18 오후 12:22:04, 0.39, 42.00, 853839, 404879, 0, 0.00
2024-09-18 오후 12:22:05, 0.00, 42.00, 859731, 407671, 0, 0.05
2024-09-18 오후 12:22:06, 0.38, 42.00, 865623, 410463, 0, 0.06
2024-09-18 오후 12:22:07, 0.38, 42.00, 871515, 413255, 0, 0.10
2024-09-18 오후 12:22:08, 0.00, 42.00, 877407, 416047, 0, 0.07
2024-09-18 오후 12:22:09, 0.00, 42.00, 883593, 418978, 0, 0.05
2024-09-18 오후 12:22:10, 0.38, 42.00, 889721, 421882, 0, 0.11
2024-09-18 오후 12:22:11, 0.38, 42.00, 895613, 424674, 0, 0.19
2024-09-18 오후 12:22:12, 0.00, 42.00, 901505, 427466, 0, 0.13
2024-09-18 오후 12:22:13, 1.14, 42.00, 907456, 430286, 0, 0.09
2024-09-18 오후 12:22:14, 0.00, 42.00, 913466, 433134, 0, 0.21
2024-09-18 오후 12:22:15, 0.00, 42.00, 919358, 435926, 0, 0.18
2024-09-18 오후 12:22:16, 0.77, 42.00, 925486, 438830, 0, 0.12
2024-09-18 오후 12:22:17, 0.38, 42.00, 931378, 441622, 0, 0.05
2024-09-18 오후 12:22:19, 0.38, 42.00, 937270, 444414, 0, 0.09
2024-09-18 오후 12:22:20, 0.76, 42.00, 943162, 447206, 0, 0.07
2024-09-18 오후 12:22:21, 0.00, 42.00, 949054, 449998, 0, 0.07
2024-09-18 오후 12:22:22, 0.38, 42.00, 954946, 452790, 0, 0.09
2024-09-18 오후 12:22:23, 0.38, 42.00, 960956, 455638, 0, 0.09
